a.ecor,1,2,3,4,5,6,7,8,9,10,11,12
83,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0,210714344.0
84,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0,1820637288.0
85,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0,104667349240.0
86,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0,11436741264.0
87,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0,4132867592.0
88,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0,18280559224.0
89,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0,8017819520.0
90,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0,26830443912.0
91,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0,4699350272.0
92,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0,6036595832.0
93,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0,31476745952.0
94,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0,12287596176.0
95,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0,2202970128.0
96,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0,2775714480.0
97,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0,27119218032.0
98,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0,62857480.0
99,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0,198350460688.0
