b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,region
Canada,QC,MONTREAL,45.5,-73.58,91300000000,3058735928,129626676670.89923,17125933096.281658,130500000000,39551721808,5153332867.852543,33611832656,1814554808,63315088152.348145,6962539161.899573,64414208800,15028833736,3363592825.86403,CA-QC
Canada,QC,QUEBEC,46.8,-71.25,9800000000,70363888,9800000000.0,500221779.4168302,9800000000,1304962456,0.0,1915200000,182840360,2345848422.6582017,559580387.0058872,2393999872,1229947848,92006182.72551876,CA-QC
Canada,SK,REGINA,50.45,-104.62,9800000000,196164248,9800000000.0,1148769898.5783217,9800000000,2503997776,0.0,1920000000,92838944,2388159625.7305784,355126095.5668937,2400000000,679556016,57807023.9132225,CA-SK
Canada,SK,SASKATOON,52.13,-106.67,10750000000,192776712,10750000000.0,929760503.5151795,10750000000,2384874280,0.0,2398800000,94914000,2865223987.175805,310922501.28131133,2878800000,668970016,67708225.91827896,CA-SK
Canada,YT,WHITEHORSE,60.72,-135.05,950000000,0,950000000.0,37024334.09858017,950000000,145422336,0.0,0,0,473853228.1897726,54747759.29077686,478800000,188327496,35999649.780242376,CA-YT
Germany,BE,BERLIN,52.52,13.4,101800000000,2010642664,237280503289.8534,25965321307.638462,239000000000,66767604832,15159622241.42195,24010462552,1142353504,52295724386.7981,8704866358.78564,54232800256,21264667568,3381388254.512062,DE
Germany,BW,BOEBLINGEN,48.68,9.02,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,DE
Germany,BW,KARLSRUHE,49.0,8.39,3800000000,15153928,42662876601.63915,2203604332.220247,43000000000,9734449024,3586009866.7758985,2873726568,138897064,11587463253.005194,770234582.1336719,11754800000,2866806952,919572784.4290634,DE
Germany,BW,STUTTGART,48.77,9.18,30000000000,302419968,30000000000.0,6060944825.553272,30000000000,13749409232,0.0,0,336993912,9034127388.138983,2192888303.889184,9240000000,4920526056,348176208.32071334,DE
Germany,BY,ERLANGEN,49.59,11.0,19600000000,49311680,19600000000.0,710524938.9283159,19600000000,3060370632,0.0,1689581648,49284920,2151600865.923583,271635804.0817269,2304000000,741223760,96375441.22982256,DE
Germany,BY,MUNICH,48.15,11.58,485695000000,5971865544,530014335103.3129,44688470690.01778,545495000000,107761374208,9991046738.724192,107488844800,4570833080,125079979183.04698,17943988100.319057,128785955784,37640720400,3014189959.125907,DE
Germany,BY,RAISTING,47.91,11.1,950000000,2043272,950000000.0,12083284.621955443,950000000,63816184,0.0,480000000,2867880,716705678.2915848,11359888.499595983,720000000,98581832,27537498.125638165,DE
Germany,HE,FRANKFURT,50.12,8.68,3942467000000,95115622904,4476704642387.164,445619936317.6692,4623567000000,864649059904,105935607399.54335,992921683040,63030455800,1124749968097.4424,210966866875.52948,1148689389456,370015459248,24258291047.04775,DE
Germany,HH,HAMBURG,53.55,10.0,324500000000,8671938544,529468740621.032,45352589345.239296,562900000000,118499408728,35352250993.49538,54143612040,3757931552,96193196868.96457,14737991670.841972,104923853960,29629627256,6947747444.387396,DE
Germany,NI,HANNOVER,52.37,9.72,19600000000,61389432,19600000000.0,935332856.3047444,19600000000,3279761168,0.0,2160000000,25516936,3096890503.3203278,255952330.11843473,3120000000,928270768,109226755.76520638,DE
Germany,NI,OLDENBURG,53.17,8.2,9800000000,390852088,9800000000.0,3444444549.836315,9800000000,8388590880,0.0,2160000000,123847776,2853596628.5665474,911039183.2261342,3120000000,2192686936,188089325.84955597,DE
Germany,NW,DUSSELDORF,51.22,6.77,147950000000,3711741704,327631749971.14166,40621081689.069374,383150000000,108687082352,32248736127.743336,52584891488,3709274328,98600813149.95451,15047558218.173843,107328521224,31618402152,8712024513.173683,DE
Germany,NW,LANGENHAGEN,51.68,8.53,29400000000,0,29400000000.0,5482791064.202239,29400000000,9889140840,0.0,0,0,9744813502.120743,1928455892.0992727,10288000000,4011964624,574168264.254581,DE
Germany,RP,MAINZ,50.0,8.27,950000000,1131072,950000000.0,2564605.9517488168,950000000,17134856,0.0,1680000000,3611048,1911620615.9972296,4997939.976451576,1920000000,26473176,43328972.39730703,DE
Germany,SH,KIEL,54.33,10.13,950000000,5820504,950000000.0,114770279.37019508,950000000,407706904,0.0,319200000,33121856,476294054.13644236,85098577.03336027,478800000,250876160,19431549.24264885,DE
