b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Taiwan  Province of China,,TAICHUNG,24.15,120.68,0,0,30733741198.199238,12519707977.21159,39200000000,40512875432,16131641149.031855,0,0,6715826946.626342,1986456661.8963408,9024000000,6721423600,3568274803.1333222,128,TW
Taiwan  Province of China,,TAIPEI,25.02,121.45,457246000000,8218369800,486282213321.02045,44457354756.92577,496446000000,84913689768,16208582042.170801,60810331056,4925390288,74657353989.74489,16800429527.253838,76434183552,29292669384,2543962339.7105923,129,TW
Taiwan  Province of China,,TAPEI,25.0,121.8,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,130,TW
Thailand,,BANGKOK,13.75,100.52,561785000000,7598401376,628739207549.3478,53689285493.502945,669585000000,103655369312,28571585273.925667,62756418280,5942814040,107654513199.34895,25917679305.941128,112267130184,47095022664,5271765604.942719,131,TH
Thailand,,NONTHABURI,13.83,100.48,0,866560,0.0,1757401.2319058063,0,10235176,0.0,0,10511016,0.0,20249175.982454114,0,86295928,0.0,132,TH
Thailand,,PAKKRED,13.92,100.5,98000000000,4141573136,208981923121.32056,29757762881.516335,216000000000,63882657864,8295105485.332299,21301184616,1828519648,47349447210.7981,11809200846.131824,49012790664,25580701648,1842312673.5927782,133,TH
Thailand,,PATHUMTHANI,14.02,100.53,9800000000,69361696,9800000000.0,1627092793.7490478,9800000000,3935800920,0.0,0,16861008,1964413706.6549695,388502666.0796491,2160000000,926341504,221770350.08683586,134,TH
Turkey,,ANKARA,39.94,32.86,49000000000,190545016,49000000000.0,2275602369.1958904,49000000000,5434852504,0.0,2160000000,123479528,3352096814.541845,902142012.60718,3436800000,1588281912,140835672.69004136,135,TR
Turkey,,DIYARBAKIR,37.92,40.23,9800000000,0,9800000000.0,254730098.71868867,9800000000,641926832,0.0,0,0,3305644908.1500635,258014811.1167032,3600000000,676567696,528642713.8739119,136,TR
Turkey,,ISTANBUL,41.02,28.96,120230000000,1702843584,140073010504.44418,9802706794.116589,140230000000,20214218088,1765078990.517593,20270132456,1384473840,24230644311.756203,3727048441.6603947,24434799232,6052426288,572716143.3672333,137,TR
Turkey,,IZMIR,38.42,27.15,19600000000,1373696,19600000000.0,3950003.7418908,19600000000,24577896,0.0,0,26013464,0.0,69490916.91007733,0,228377928,0.0,138,TR
Turkey,,USKUDAR,41.02,29.05,19600000000,0,32116126053.330254,2998603115.1370196,39200000000,7319304544,9416628647.284214,0,0,1718799195.2201316,1154302898.1701488,2234400000,1970849248,536155251.633447,139,TR
United Arab Emirates,,ABUDHABI,24.47,54.37,29400000000,379838008,29400000000.0,4831839298.152603,29400000000,9583189384,0.0,4639504360,592652600,7377354594.180307,2337783423.1993537,7800000000,4238238248,379906971.50942755,140,AE
United Arab Emirates,,DUBAI,25.25,55.28,117600000000,2435343568,117600000000.0,11141883428.611797,117600000000,17130033280,0.0,25689351312,1847873504,29008157654.403324,5199305575.311093,29736990464,7739126896,597923553.2541078,141,AE
United Arab Emirates,,FUJAIRAH,25.12,56.34,19600000000,3655728672,19600000000.0,7331152592.598407,19600000000,9339345440,0.0,3919405632,821489192,4688269657.662242,1604250447.8208473,4992000000,2302199680,218913311.39052418,142,AE
